GeogName,GeoID,BlNHP
Brooklyn Heights-Cobble Hill,BK09,5
Sheepshead Bay-Gerritsen Beach-Manhattan Beach,BK17,7.2
Brighton Beach,BK19,0.8
Seagate-Coney Island,BK21,29.8
West Brighton,BK23,1.1
Homecrest,BK25,1
Gravesend,BK26,7.9
Bath Beach,BK27,1.2
Bensonhurst West,BK28,0.9
Bensonhurst East,BK29,0.8
Dyker Heights,BK30,0.8
Bay Ridge,BK31,1.9
Sunset Park West,BK32,3.2
Carroll Gardens-Columbia Street-Red Hook,BK33,10.9
Sunset Park East,BK34,1.5
Stuyvesant Heights,BK35,66.8
Park Slope-Gowanus,BK37,4.4
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,BK38,19.5
Windsor Terrace,BK40,4.8
Kensington-Ocean Parkway,BK41,7.1
Flatbush,BK42,45.2
Midwood,BK43,5.3
Madison,BK44,1.4
Georgetown-Marine Park-Bergen Beach-Mill Basin,BK45,12.7
Ocean Parkway South,BK46,1.1
Canarsie,BK50,84.7
Flatlands,BK58,69.8
Prospect Lefferts Gardens-Wingate,BK60,70.2
Crown Heights North,BK61,65.9
Crown Heights South,BK63,60
Prospect Heights,BK64,24.8
Fort Greene,BK68,37.1
Clinton Hill,BK69,38.2
Williamsburg,BK72,3.7
North Side-South Side,BK73,2.9
Bedford,BK75,40.6
Greenpoint,BK76,2.2
Bushwick North,BK77,9.2
Bushwick South,BK78,25.6
Ocean Hill,BK79,72.8
Brownsville,BK81,75.7
East New York,BK82,66.2
Cypress Hills-City Line,BK83,24.6
East New York (Pennsylvania Ave),BK85,72.8
Borough Park,BK88,0.9
East Williamsburg,BK90,8.7
East Flatbush-Farragut,BK91,88.4
Starrett City,BK93,55
Erasmus,BK95,82.2
Rugby-Remsen Village,BK96,88.9
park-cemetery-etc-Brooklyn,BK99,6.1
Claremont-Bathgate,BX01,39.5
Eastchester-Edenwald-Baychester,BX03,66.3
Bedford Park-Fordham North,BX05,16.6
Belmont,BX06,14.8
